.null	0000
CR	000D
space	0020
uni00A0	00A0
A	0041
B	0042
C	0043
D	0044
E	0045
F	0046
G	0047
H	0048
I	0049
J	004A
K	004B
L	004C
M	004D
N	004E
O	004F
P	0050
Q	0051
R	0052
S	0053
T	0054
U	0055
V	0056
W	0057
X	0058
Y	0059
Z	005A
a	0061
b	0062
c	0063
d	0064
e	0065
f	0066
g	0067
h	0068
i	0069
j	006A
k	006B
l	006C
m	006D
n	006E
o	006F
p	0070
q	0071
r	0072
s	0073
t	0074
u	0075
v	0076
w	0077
x	0078
y	0079
z	007A
Agrave	00C0
agrave	00E0
Aacute	00C1
aacute	00E1
Acircumflex	00C2
acircumflex	00E2
Atilde	00C3
atilde	00E3
Adieresis	00C4
adieresis	00E4
Amacron	0100
amacron	0101
Abreve	0102
abreve	0103
Aring	00C5
aring	00E5
Aringacute	01FA
aringacute	01FB
Adotbelow	1EA0
adotbelow	1EA1
Aogonek	0104
aogonek	0105
AE	00C6
ae	00E6
AEacute	01FC
aeacute	01FD
Cacute	0106
cacute	0107
Ccircumflex	0108
ccircumflex	0109
Ccaron	010C
ccaron	010D
Cdotaccent	010A
cdotaccent	010B
Ccedilla	00C7
ccedilla	00E7
Dcaron	010E
dcaron	010F
Dcroat	0110
dcroat	0111
Eth	00D0
eth	00F0
Egrave	00C8
egrave	00E8
Eacute	00C9
eacute	00E9
Ecircumflex	00CA
ecircumflex	00EA
Etilde	1EBC
etilde	1EBD
Ecaron	011A
ecaron	011B
Edieresis	00CB
edieresis	00EB
Emacron	0112
emacron	0113
Ebreve	0114
ebreve	0115
Edotaccent	0116
edotaccent	0117
Edotbelow	1EB8
edotbelow	1EB9
Eogonek	0118
eogonek	0119
Gcircumflex	011C
gcircumflex	011D
Gcaron	01E6
gcaron	01E7
Gbreve	011E
gbreve	011F
Gdotaccent	0120
gdotaccent	0121
Gcommaaccent	0122
gcommaaccent	0123
Hcircumflex	0124
hcircumflex	0125
Hbar	0126
hbar	0127
dotlessi	0131
Igrave	00CC
igrave	00EC
Iacute	00CD
iacute	00ED
Icircumflex	00CE
icircumflex	00EE
Itilde	0128
itilde	0129
Idieresis	00CF
idieresis	00EF
Imacron	012A
imacron	012B
Ibreve	012C
ibreve	012D
Idotaccent	0130
Idotbelow	1ECA
idotbelow	1ECB
